Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
1.025503573749187751e+02,9.252826510721247644e+01,1.900248461154436352e+00
1.026068875893437280e+02,9.236712150747239036e+01,1.894131585813406460e+00
1.025269655620532774e+02,9.243339831059128642e+01,1.892526624412735448e+00
1.025847953216374293e+02,9.236582196231319131e+01,1.905700114512519860e+00
1.027329434697855817e+02,9.313320337881741295e+01,1.946098809435098165e+00
1.031156595191682896e+02,9.271020142949967635e+01,1.860282499683110879e+00
1.030344379467186542e+02,9.332878492527615322e+01,1.924902064898537102e+00
1.032878492527615322e+02,9.355035737491877512e+01,1.909141874536108396e+00
1.033554256010396415e+02,9.359259259259259522e+01,1.889472256468121003e+00
1.030753736192332752e+02,9.333528265107212007e+01,1.899505633493964618e+00
1.037024041585445104e+02,9.414165042235217129e+01,1.876879400720323332e+00
1.031981806367771242e+02,9.353541260558804993e+01,1.900695700248351550e+00
1.036075373619233204e+02,9.364132553606238218e+01,1.854213687672009669e+00
1.028719948018193691e+02,9.288823911630929331e+01,1.903720066654180920e+00
1.028440545808966817e+02,9.299805068226120852e+01,1.906667165893976668e+00
1.031429499675113703e+02,9.291682910981155885e+01,1.855140488953672673e+00
1.029083820662768005e+02,9.307862248213125156e+01,1.900983736247816136e+00
1.029467186484730377e+02,9.337556855100714870e+01,1.919840133521386605e+00
1.024658869395711491e+02,9.305328135152696234e+01,1.920234710112057597e+00
1.030240415854450902e+02,9.338791423001948999e+01,1.898161161822489618e+00
1.030545808966861614e+02,9.308966861598440801e+01,1.885784103129837685e+00
1.030279402209226731e+02,9.324041585445094427e+01,1.890361568737459308e+00
1.036913580246913540e+02,9.405847953216374435e+01,1.867771582195333124e+00
1.032248213125406124e+02,9.400389863547758296e+01,1.935336342361505757e+00
1.037283950617283921e+02,9.407277452891487712e+01,1.857413743251560057e+00
1.029850552306692606e+02,9.335477582846003486e+01,1.911712337493538527e+00
1.030285899935022798e+02,9.362897985705002668e+01,1.928115266028268771e+00
1.033430799220272860e+02,9.309356725146199096e+01,1.853345895874187521e+00
1.032651072124756269e+02,9.316699155295646051e+01,1.868522226607527204e+00
1.030909681611435929e+02,9.308057179987004304e+01,1.887146920515671455e+00
1.032540610786224846e+02,9.334307992202728599e+01,1.887689370660741606e+00
1.030766731643924601e+02,9.309031838856400043e+01,1.890468047617057668e+00
1.030662768031189103e+02,9.319298245614035636e+01,1.877124380577779084e+00
1.029350227420402888e+02,9.345224171539960878e+01,1.912541040001940917e+00
1.029850552306692606e+02,9.294671864847303766e+01,1.881488857143214011e+00
1.029616634178037629e+02,9.282910981156595653e+01,1.870467414037180198e+00
1.029441195581546395e+02,9.265432098765431590e+01,1.878071914283588217e+00
1.026406757634827756e+02,9.224756335282651776e+01,1.885619802816255408e+00
1.028070175438596436e+02,9.248538011695906391e+01,1.875431850485314467e+00
1.032625081221572430e+02,9.312670565302144610e+01,1.860674067586267633e+00
1.029564652371669951e+02,9.368875893437297009e+01,1.945769993919514773e+00
1.027550357374918804e+02,9.292397660818713234e+01,1.897377866706464911e+00
1.029564652371669951e+02,9.305263157894736992e+01,1.892121262558569939e+00
1.029187784275503503e+02,9.250162443144898816e+01,1.893045084106698583e+00
1.028070175438596436e+02,9.259974009096815450e+01,1.881124143849996599e+00
1.029889538661468436e+02,9.263417803768680869e+01,1.860723960829828272e+00
1.027914230019493118e+02,9.320337881741390618e+01,1.910877811440202079e+00
1.030331384015594551e+02,9.314879792072774478e+01,1.906214169763840172e+00
1.025126705653021446e+02,9.293892137751787175e+01,1.920495572372714843e+00
1.029311241065627058e+02,9.282066276803118399e+01,1.872887074914672212e+00
1.028499025341130562e+02,9.296816114359974392e+01,1.891856855486995448e+00
1.034028589993502294e+02,9.303898635477582957e+01,1.838794412894100727e+00
1.028070175438596436e+02,9.190513320337882419e+01,1.867473123232013421e+00
1.021721897335932425e+02,9.152956465237167549e+01,1.863150159321504074e+00
1.026153346328784863e+02,9.184080571799870540e+01,1.860254462374372864e+00
1.022527615334632856e+02,9.160363872644573746e+01,1.876721766914045020e+00
1.021423001949317779e+02,9.134372969460689262e+01,1.861422892744656554e+00
1.021228070175438631e+02,9.140480831708902087e+01,1.872972018207299083e+00
1.024671864847303482e+02,9.204678362573099548e+01,1.888400865211077306e+00
1.026634178037686809e+02,9.225016244314490166e+01,1.874457856406778644e+00
1.026549707602339225e+02,9.202404158544509016e+01,1.883076831082600489e+00
1.026205328135152683e+02,9.241520467836257069e+01,1.905586002116128164e+00
1.027998700454840844e+02,9.245354126055880783e+01,1.881343156660614246e+00
1.027361923326835580e+02,9.241520467836257069e+01,1.876181770633409407e+00
1.026699155295646477e+02,9.228330084470435679e+01,1.899124472771580585e+00
1.027192982456140413e+02,9.229434697855749903e+01,1.884756397776301107e+00
1.027972709551656862e+02,9.243079922027290252e+01,1.899023722926588054e+00
1.029415204678362556e+02,9.302794022092267312e+01,1.879311543628789494e+00
1.030006497725795924e+02,9.280181936322287584e+01,1.875572037263444125e+00
1.029441195581546395e+02,9.294087069525666323e+01,1.889711790076458620e+00
1.029194282001299570e+02,9.252826510721247644e+01,1.873906253769937802e+00
1.028336582196231319e+02,9.283365821962313191e+01,1.890139499941893231e+00
