Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
1.027361923326835580e+02,9.347303443794672262e+01,1.911796751754531343e+00
1.026276803118908418e+02,9.345224171539960878e+01,1.917818052819601160e+00
1.026757634827810222e+02,9.336972059779077426e+01,1.913600120665959636e+00
1.029298245614035068e+02,9.396946068875892877e+01,1.923325736030464306e+00
1.033398310591293097e+02,9.415984405458090123e+01,1.876676450652142947e+00
1.028265107212475584e+02,9.375698505523067183e+01,1.912289073097542147e+00
1.032150747238466550e+02,9.437556855100714870e+01,1.903257181695952038e+00
1.027849252761533450e+02,9.335867446393761782e+01,1.890914906580951182e+00
1.030350877192982466e+02,9.336257309941520077e+01,1.850723492840365303e+00
1.031819363222871999e+02,9.341780376868095459e+01,1.886026703264513937e+00
1.027927225471085109e+02,9.401364522417154035e+01,1.934762836100611727e+00
1.030734243014944838e+02,9.394541910331383860e+01,1.911161004502206717e+00
1.030844704353476260e+02,9.378752436647172885e+01,1.909739454948561121e+00
1.035328135152696518e+02,9.452176738141650958e+01,1.896626650610063081e+00
1.037069525666016858e+02,9.456920077972709748e+01,1.883652026198963325e+00
1.032800519818063663e+02,9.409031838856400043e+01,1.907826206257244639e+00
1.031500974658869438e+02,9.391487979207278158e+01,1.909705819927450143e+00
1.035061728395061778e+02,9.395906432748537895e+01,1.870959203417825290e+00
1.034100064977258029e+02,9.397920727745288616e+01,1.909944424099313309e+00
1.031306042884990291e+02,9.377582846003897998e+01,1.908661019560537575e+00
1.033359324236517267e+02,9.380246913580246826e+01,1.898266491176800574e+00
1.038784925276153359e+02,9.441390513320338584e+01,1.873043514842493540e+00
1.036055880441845289e+02,9.388369070825211793e+01,1.902739014281474628e+00
1.039012345679012412e+02,9.445614035087719174e+01,1.866904677963276971e+00
1.039259259259259238e+02,9.444704353476282677e+01,1.878189592131644936e+00
1.032365172189733613e+02,9.421572449642624747e+01,1.914581527694112939e+00
1.034886289798570544e+02,9.420532813515269766e+01,1.914627479715868663e+00
1.035029239766081872e+02,9.402404158544509016e+01,1.899661468202844095e+00
1.033105912930474375e+02,9.345094217024040972e+01,1.889211167550529424e+00
1.031734892787524416e+02,9.399090318388563503e+01,1.916021218246638069e+00
1.032949967511371057e+02,9.340870695256660383e+01,1.883846342691000597e+00
1.027602339181286482e+02,9.260883690708251947e+01,1.892630383538769667e+00
1.028258609486679660e+02,9.298635477582845965e+01,1.915509446904321234e+00
1.028083170890188427e+02,9.254256010396360921e+01,1.885214244978753895e+00
1.028934372969460753e+02,9.242235217673814418e+01,1.874486860063488081e+00
1.027595841455490557e+02,9.276478232618583775e+01,1.902855472619731314e+00
